code;description;type
ALS092;PROTECTOR 6885 PANTALLA PARA MASCARA S6000 PACK DE 25 UNDS;PPE
ALS093;FILTRO 6099N A2B2E2K2HgP3 PACK DE 2 UNDS;PPE
ALS094;FILTROS 3M 6098 PACK 2 FILTROS PROTECCION AXP3 NR;PPE
ALS095;UND JUPITER 3M 0850010P MOTO VENTILADORA S/BATE;PPE
ALS096;3M 0080042P TUBO RESPIRACION LIGERO PACK 3;PPE
ALS097;BATERIA 3M 0070064P 8 H NiHM JUPITER;PPE
ALS098;CARGADOR MULTIPLE 3M 003-00-59P;PPE
ALS099;FILTROS 3M 4530025P2X6 PACK DE 2 JUPITER A2P;PPE
ALS100;PREFILTROS 3M 4610002P24X5 CAJA DE 120 PREFILTROS P/JUPITER;PPE
ALS101;CAPUCHA UNIDAD CABEZA 3M S-655;PPE
ALS102;RECAMBIO 3M S60510 TEJIDO PARA S655;PPE
ALS103;PANTALLA 3M 501805 CON V/L ADF 9100V (5/8/9-13);PPE
ALS104;GORRA SCOTT HC24/CLA/MP FIRST BASE 3 CLASSIC;PPE
ALS106;FRONTAL 3M 532000 PLATEADO;PPE
ALS107;CUBRE VENTANILLAS 3M 532015;PPE
ALS108;PROTECTOR 3M 169010 DE CUELLOS Y OIDOS;PPE
ALS109;3M 169005 CUBIERTA PROTECCION TIPO CORONA;PPE
ALS110;CUBREFILTRO 3M 528005 INTERIOR PACK DE 5 UNDS;PPE
ALS112;CUBREFILTRO 3M 526000 ESTANDAR PACK DE 10 UNDS;PPE
ALS113;SPEEDGLAS 9100 FX AIR CON FILTRO 9100XX 546625 ADFLO CON BOLSA;PPE
ALS114;CUBREFILTRO 3M 427000 EXTERIOR PACK DE 10 UNDS;PPE
ALS115;KIT FRONTAL 3M 540500 P/ SPEEDGLAS 9100 FX;PPE
ALS116;CUBRE VENTANILLAS 3M 532016 PACK DE 2 UNDS;PPE
ALS117;PROTECTOR 3M 169006 DE CABEZA PEQUEÑO;PPE
ALS118;VISOR 3M 523000 INCOLORO PACK DE 5 UNDS;PPE
ALS119;CUBRE FILTRO 528025 INTERIOR 73x107 PACK DE 5 UNDS;PPE
ALS120;BANDA 3M 168015 ANTI-SUDOR PACK DE 3 UNDS;PPE
ALS121;CUBREFILTRO 3M 526000 EXTERIOR ESTANDAR PACK DE 10 UNDS;PPE
ALS122;AJUSTE FACIAL 3M 534000 P/ PANTALLA 9100FX AIR;PPE
ALS123;CARGADOR 833101 BATERÍA PARA ADFLO;PPE
ALS124;TUBO 3M 834000 RESPIRACIÓN PARA ADFLO;PPE
ALS126;RETENEDOR 3M 836000 CHISPAS ADFLO;PPE
ALS127;PREFILTRO 3M 836010 PREFILTRO ADFLO PACK 5 UNDS;PPE
ALS128;FILTRO 3M 837012 - 837010 PARTICULAS PACK DE 2 UNDS;PPE
ALS129;FILTRO GASES 3M 837242 ABE;PPE
ALS284;3M 536000 MECANISMO PIVOTANTE SPEEDGLASS– 7000028073;PPE
ALS285;3M 837630 BATERIA IONES LITIO ESTANDAR ADFLO- 7000144538;PPE
ALS286;FILTRO AUTOOCURESCENTE SPEEGLASS 9100XX REF, 500025 - 7000028044;PPE
ALS300;3M 197144 HINGE MECHANISM 9100FX/FXAIRX2;PPE
ALS303;3M Rf:7100185855-611130 Pantalla G5-01VC;PPE
ALS304;3M Rf:7100185851-611120 Pantalla G5-01TW;PPE
ALS305;3M RF:7100166698-ADFLO RESPI. DE AIRE COMPRIMIDO;PPE
ALS306;3M™ Speedglas™ Task Light Cable de alimentación, corto, 169212;PPE
ALS307;3M™ Speedglas™ Task Light Power Cable, long, 169210;PPE
ALS308;3M™ Speedglas™ Task Light G5-01, con la luz, la placa de protección, las piezas/;PPE
ALS309;3M™ 542800 PANTALLA SPEEDGLAS SL SIN OCULAR ADF 7 00002;PPE
ALS130.7;GUANTES NX4C00 NINJA X4 COMFORT SIN COSTURAS T- 7;PPE
ALS130.8;GUANTES NX4C00 NINJA X4 COMFORT SIN COSTURAS T- 8;PPE
ALS130.9;GUANTES NX4C00 NINJA X4 COMFORT SIN COSTURAS T- 9;PPE
ALS131.10;GUANTES 406VRW FLOR VACUNO T- 10;PPE
ALS131.8;GUANTES 406VRW FLOR VACUNO T- 8;PPE
ALS131.9;GUANTES 406VRW FLOR VACUNO T- 9;PPE
ALS132.10;GUANTES NEOPRENO TOUTRAVO VE509 T- 10;PPE
ALS132.8;GUANTES NEOPRENO TOUTRAVO VE509 T- 8;PPE
ALS132.9;GUANTES NEOPRENO TOUTRAVO VE509 T- 9;PPE
ALS133.10;GUANTES 570 NITRILO SIN POLVO CAJA/100 T- 10;PPE
ALS133.7;GUANTES 570 NITRILO SIN POLVO CAJA/100 T- 7;PPE
ALS133.8;GUANTES 570 NITRILO SIN POLVO CAJA/100 T- 8;PPE
ALS133.9;GUANTES 570 NITRILO SIN POLVO CAJA/100 T- 9;PPE
ALS134.8;GUANTES 105CB BASPIN ALGODÓN NOMEX T- 8;PPE
ALS134.9;GUANTES 105CB BASPIN ALGODÓN NOMEX T- 9;PPE
ALS135.10;GUANTES SG 25 CLASE 00 DIELECTRICO 500V T- 10;PPE
ALS135.8;GUANTES SG 25 CLASE 00 DIELECTRICO 500V T- 8;PPE
ALS135.9;GUANTES SG 25 CLASE 00 DIELECTRICO 500V T- 9;PPE
ALS136.10;GUANTES SG-50 CLASE 0 DIELECTRICO 1.000V T- 10;PPE
ALS136.8;GUANTES SG-50 CLASE 0 DIELECTRICO 1.000V T- 8;PPE
ALS136.9;GUANTES SG-50 CLASE 0 DIELECTRICO 1.000V T- 9;PPE
ALS137.10;GUANTES SG-10 CLASE 1 DIELECTRICO 7.500V T- 10;PPE
ALS137.8;GUANTES SG-10 CLASE 1 DIELECTRICO 7.500V T- 8;PPE
ALS137.9;GUANTES SG-10 CLASE 1 DIELECTRICO 7.500V T- 9;PPE
ALS138.10;GUANTES SG-20 CLASE 2 DIELECTR 17.000V T- 10;PPE
ALS138.8;GUANTES SG-20 CLASE 2 DIELECTR 17.000V T- 8;PPE
ALS138.9;GUANTES SG-20 CLASE 2 DIELECTR 17.000V T- 9;PPE
ALS139.10;GUANTES SG-30 CLASE 3 DIELECTRICOS 28.500V T- 10;PPE
ALS139.8;GUANTES SG-30 CLASE 3 DIELECTRICOS 28.500V T- 8;PPE
ALS139.9;GUANTES SG-30 CLASE 3 DIELECTRICOS 28.500V T- 9;PPE
ALS140.8;GUANTE 212 CEML CUERO SOBREGUANTE T- 8;PPE
ALS141;GUANTES 916 B34 CROMO ROJO SOLDADOR T - UNICA;PPE
ALS142.10;GUANTES BODERO 5558 KEVLAR SIN COSTURAS T- 10;PPE
ALS142.8;GUANTES BODERO 5558 KEVLAR SIN COSTURAS T- 8;PPE
ALS142.9;GUANTES BODERO 5558 KEVLAR SIN COSTURAS T- 9;PPE
ALS143.10;GUANTES 111 - FV / D / LO / A TALLA : 10;PPE
ALS143.8;GUANTES 111 - FV / D / LO / A TALLA : 8;PPE
ALS143.9;GUANTES 111 - FV / D / LO / A TALLA : 9;PPE
ALS144.10;GUANTES 47-400 ANSELL HYLITE AZUL T- 10;PPE
ALS144.8;GUANTES 47-400 ANSELL HYLITE AZUL T- 8;PPE
ALS144.9;GUANTES 47-400 ANSELL HYLITE AZUL T- 9;PPE
ALS145.10;GUANTES 37-900 ANSELL SOLVEX PREMIUM ROJO 38 CM T- 10;PPE
ALS145.7;GUANTES 37-900 ANSELL SOLVEX PREMIUM ROJO 38 CM T- 7;PPE
ALS145.8;GUANTES 37-900 ANSELL SOLVEX PREMIUM ROJO 38 CM T- 8;PPE
ALS145.9;GUANTES 37-900 ANSELL SOLVEX PREMIUM ROJO 38 CM T- 9;PPE
ALS146.10;GUANTES 541 DYNEMA SHOWA T- 10;PPE
ALS146.7;GUANTES 541 DYNEMA SHOWA T- 7;PPE
ALS146.8;GUANTES 541 DYNEMA SHOWA T- 8;PPE
ALS146.9;GUANTES 541 DYNEMA SHOWA T- 9;PPE
ALS147.10;GUANTES JUBA 5160W AGILITY T- 10;PPE
ALS147.8;GUANTES JUBA 5160W AGILITY T- 8;PPE
ALS147.9;GUANTES JUBA 5160W AGILITY T- 9;PPE
ALS148.10;GUANTES 981EMPROTIG SOLDADOR FLOR CABRA GRIS T- 10;PPE
ALS148.8;GUANTES 981EMPROTIG SOLDADOR FLOR CABRA GRIS T- 8;PPE
ALS148.9;GUANTES 981EMPROTIG SOLDADOR FLOR CABRA GRIS T- 9;PPE
ALS149;GUANTES 960 PROXIMA SOLDADOR AZUL T- UNICA;PPE
ALS150.10;GUANTES 406VR2ª CUERO CABRITILLA TALLA - 10;PPE
ALS150.8;GUANTES 406VR2ª CUERO CABRITILLA TALLA - 8;PPE
ALS150.9;GUANTES 406VR2ª CUERO CABRITILLA TALLA - 9;PPE
ALS151.10;GUANTES 980SOLTIG FLOR CABRA GRIS EXTRA T- 10;PPE
ALS151.8;GUANTES 980SOLTIG FLOR CABRA GRIS EXTRA T- 8;PPE
ALS151.9;GUANTES 980SOLTIG FLOR CABRA GRIS EXTRA T- 9;PPE
ALS152;PROTECTOR 44-3006LB ALUMINIZADO T- ÚNICA;PPE
ALS153.10;GUANTES 408K SERRAJE SOLDADOR T- 10;PPE
ALS153.9;GUANTES 408K SERRAJE SOLDADOR T- 9;PPE
ALS154.10;GUANTES PURETOUGH ANSELL P3000 3DO T- 10;PPE
ALS154.8;GUANTES PURETOUGH ANSELL P3000 3DO T- 8;PPE
ALS154.9;GUANTES PURETOUGH ANSELL P3000 3DO T- 9;PPE
ALS155.9;GUANTE AIR 750 ANTIVIBRACION FLOR VACUNO T- 9;PPE
ALS156.10;GUANTES 2342545 VERTIGO BLACK PU C&G 5 T- 10;PPE
ALS156.7;GUANTES 2342545 VERTIGO BLACK PU C&G 5 T- 7;PPE
ALS156.8;GUANTES 2342545 VERTIGO BLACK PU C&G 5 T- 8;PPE
ALS156.9;GUANTES 2342545 VERTIGO BLACK PU C&G 5 T- 9;PPE
ALS157;GUANTE ANTICORTE VERTIGO C&G Nit 5 T- VARIAS;PPE
ALS158.10;GUANTES 2232532 HONEYWELL TUFF CUT LAT T- 10;PPE
ALS158.7;GUANTES 2232532 HONEYWELL TUFF CUT LAT T- 7;PPE
ALS158.8;GUANTES 2232532 HONEYWELL TUFF CUT LAT T- 8;PPE
ALS158.9;GUANTES 2232532 HONEYWELL TUFF CUT LAT T- 9;PPE
ALS159.10;GUANTES 350R ALG/POL TALLA - 10;PPE
ALS159.7;GUANTES 350R ALG/POL TALLA - 7;PPE
ALS159.8;GUANTES 350R ALG/POL TALLA - 8;PPE
ALS159.9;GUANTES 350R ALG/POL TALLA - 9;PPE
ALS160.10;GUANTES MAPA 415 TECHNIMIX NEOPRENO T- 10;PPE
ALS160.7;GUANTES MAPA 415 TECHNIMIX NEOPRENO T- 7;PPE
ALS160.8;GUANTES MAPA 415 TECHNIMIX NEOPRENO T- 8;PPE
ALS160.9;GUANTES MAPA 415 TECHNIMIX NEOPRENO T- 9;PPE
ALS161.10;GUANTES 495 COLD .20 C AZUL T- 10;PPE
ALS161.8;GUANTES 495 COLD .20 C AZUL T- 8;PPE
ALS161.9;GUANTES 495 COLD .20 C AZUL T- 9;PPE
ALS162.10;GUANTES 492 ULTRANITRIL PLUS NITRILO T- 10;PPE
ALS162.8;GUANTES 492 ULTRANITRIL PLUS NITRILO T- 8;PPE
ALS162.9;GUANTES 492 ULTRANITRIL PLUS NITRILO T- 9;PPE
ALS163.G;GUANTES 60201 NITRILO SIN/P CAJA DE 100 UDS T- G;PPE
ALS163.M;GUANTES 60201 NITRILO SIN/P CAJA DE 100 UDS T- M;PPE
ALS163.S;GUANTES 60201 NITRILO SIN/P CAJA DE 100 UDS T- S;PPE
ALS163.SG;GUANTES 60201 NITRILO SIN/P CAJA DE 100 UDS T- SG;PPE
ALS167;GUANTES HONEYWELL GBTK7065 T- UNICA;PPE
ALS168;GUANTES 916-B34 ROJO SERRAJE SOLDADOR T - UNICA;PPE
ALS169.L;GUANTES HEXARMOR NSR NITREX 3041 T- L;PPE
ALS169.M;GUANTES HEXARMOR NSR NITREX 3041 T- M;PPE
ALS169.S;GUANTES HEXARMOR NSR NITREX 3041 T- S;PPE
ALS169.XL;GUANTES HEXARMOR NSR NITREX 3041 T- XL;PPE
ALS169.XXL;GUANTES HEXARMOR NSR NITREX 3041 T- XXL;PPE
ALS170;MANGUITO AS019S SUPERFABRIC PROTECCION AL CORTE T- L/ 9;PPE
ALS281.10;GUANTES SG-40 CLASE 4 DIELECTRICOS 36.000V T- 10;PPE
ALS281.8;GUANTES SG-40 CLASE 4 DIELECTRICOS 36.000V T- 8;PPE
ALS281.9;GUANTES SG-40 CLASE 4 DIELECTRICOS 36.000V T- 9;PPE
ALS282.9;GUANTES 265R NYLON T- 9/XL;PPE
ALS287.10;GUANTES GAL 325 ALGODÓN BLANCO T-10;PPE
ALS287.11;GUANTES GAL 325 ALGODÓN BLANCO T-11;PPE
ALS287.7;GUANTES GAL 325 ALGODON BLANCO T- 7;PPE
ALS287.8;GUANTES GAL 325 ALGODON BLANCO T-8;PPE
ALS287.9;GUANTES GAL 325 ALGODON BLANCO T-9;PPE
ALS288.10;GUANTE S1912M EXCLUSIVO MANIOBRAS CLASE 1 TALLA 10;PPE
ALS288.9;GUANTE S1912M EXCLUSIVO MANIOBRAS CLASE 1 TALLA 9;PPE
ALS289.10;GUANTES S1921M EXCLUSIVO MANIOBRAS CLASE 2 TALLA 10;PPE
ALS289.9;GUANTES S1921M EXCLUSIVO MANIOBRAS CLASE 2 TALLA 9;PPE
ALS290.10;GUANTES S1931M EXCLUSIVOS MANIOBRAS CLASE 3 TALLA 10;PPE
ALS290.9;GUANTES S1931M EXCLUSIVO MANIOBRAS CLASE 3 TALLA 9;PPE
ALS291.10;GUANTE S1941M EXCLUSIVO MANIOBRAS CLASE 4 TALLA 10;PPE
ALS291.9;GUANTE S1941M EXCLUSIVO MANIOBRAS CLASE 4 TALLA 9;PPE
ALS294.10;GUANTES SGM-25 CLASE 00 COMPOSITE TALLA 10;PPE
ALS294.9;GUANTES SGM-25 CLASE 00 COMPOSITE TALLA 9;PPE
ALS295.10;GUANTES SGM-50 CLASE 0 COMPOSITE TALLA 10;PPE
ALS295.9;GUANTES SGM-50 CLASE 0 COMPOSITE TALLA 9;PPE
ALS296.10;GUANTES SGM-10 CLASE 1 TALLA 10;PPE
ALS296.9;GUANTES SGM -10 CLASE 1 TALLA 9;PPE
ALS297.10;GUANTES SGM-20 CLASE 2 TALLA 10;PPE
ALS297.9;GUANTES SGM-20 CLASE 2 TALLA 9;PPE
ALS298.10;GUANTES SGM-30 CLASE 3 TALLA 10;PPE
ALS298.9;GUANTES SGM-30 CLASE 3 TALLA 9;PPE
ALS299.10;GUANTES SGM -40 CLASE 4 TALLA 10;PPE
ALS299.11;GUANTES SGM-40 CLASE 4 TALLA 11;PPE
ALS171.37;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 37;PPE
ALS171.38;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 38;PPE
ALS171.39;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 39;PPE
ALS171.40;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 40;PPE
ALS171.41;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 41;PPE
ALS171.42;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 42;PPE
ALS171.43;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 43;PPE
ALS171.44;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 44;PPE
ALS171.45;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 45;PPE
ALS171.46;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 46;PPE
ALS171.47;BOTAS VOLTIO SBP ELECTRICISTA SYMPATEX Nº 47;PPE
ALS172.37;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 37;PPE
ALS172.38;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 38;PPE
ALS172.39;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 39;PPE
ALS172.40;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 40;PPE
ALS172.41;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 41;PPE
ALS172.42;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 42;PPE
ALS172.43;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 43;PPE
ALS172.44;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 44;PPE
ALS172.45;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 45;PPE
ALS172.46;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 46;PPE
ALS172.47;BOTAS VPRO 3BOT250 BASICA NEGRA Nº 47;PPE
ALS174.37;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 37;PPE
ALS174.38;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 38;PPE
ALS174.39;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 39;PPE
ALS174.40;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 40;PPE
ALS174.41;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 41;PPE
ALS174.42;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 42;PPE
ALS174.43;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 43;PPE
ALS174.44;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 44;PPE
ALS174.45;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 45;PPE
ALS174.46;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 46;PPE
ALS174.47;BOTAS 92201 TIBURON GORETEX S3 METAL FREENº 47;PPE
ALS175.37;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 37;PPE
ALS175.38;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 38;PPE
ALS175.39;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 39;PPE
ALS175.40;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 40;PPE
ALS175.41;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 41;PPE
ALS175.42;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 42;PPE
ALS175.43;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 43;PPE
ALS175.44;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 44;PPE
ALS175.45;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 45;PPE
ALS175.46;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 46;PPE
ALS175.47;BOTAS SILEX LINK S3 247 NEGRO METAL FREE Nº 47;PPE
ALS176.38;BOTAS 2091 VERDE S5 AISLANTE Nº 38;PPE
ALS176.39;BOTAS 2091 VERDE S5 AISLANTE Nº 39;PPE
ALS176.40;BOTAS 2091 VERDE S5 AISLANTE Nº 40;PPE
ALS176.41;BOTAS 2091 VERDE S5 AISLANTE Nº 41;PPE
ALS176.42;BOTAS 2091 VERDE S5 AISLANTE Nº 42;PPE
ALS176.43;BOTAS 2091 VERDE S5 AISLANTE Nº 43;PPE
ALS176.44;BOTAS 2091 VERDE S5 AISLANTE Nº 44;PPE
ALS176.45;BOTAS 2091 VERDE S5 AISLANTE Nº 45;PPE
ALS176.46;BOTAS 2091 VERDE S5 AISLANTE Nº 46;PPE
ALS176.47;BOTAS 2091 VERDE S5 AISLANTE Nº 47;PPE
